Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS
CIFAR10,ViT,Head,100,TD,8,2,0.0028486831886224357,0.371,893
CIFAR10,ViT,Head,100,TD,8,2,0.0013693842185902932,10.0,1000
CIFAR10,ViT,Head,100,TD,8,2,0.003094325767555578,0.2,507
CIFAR10,ViT,Head,100,TD,8,2,0.0023127156283528076,10.0,648
CIFAR10,ViT,Head,100,TD,8,2,0.002978674181057576,0.2,636
CIFAR10,ViT,Head,100,TD,8,2,0.0022893718426312097,8.648,898
CIFAR10,ViT,Head,100,TD,8,2,0.0030788009350700717,7.258,997
CIFAR10,ViT,Head,100,TD,8,2,0.0017234396980845075,0.2,688
CIFAR10,ViT,Head,100,TD,8,2,0.0016915256922298075,4.179,241
CIFAR10,ViT,Head,100,TD,8,2,0.0010933895130205273,9.252,300
CIFAR10,ViT,Head,100,TD,8,2,0.001083438592029666,0.2,705
CIFAR10,ViT,Head,100,TD,8,2,0.0018389562347152666,0.341,471
CIFAR10,ViT,Head,100,TD,8,2,0.001932082922418499,9.962,901
CIFAR10,ViT,Head,100,TD,8,2,0.001919954163978613,6.072,728
CIFAR10,ViT,Head,100,TD,8,2,0.001975813384004803,6.452,468
CIFAR10,ViT,Head,100,TD,8,2,0.000481362913123509,5.629,402
CIFAR10,ViT,Head,100,TD,8,2,0.0031165788136541675,4.609,462
CIFAR10,ViT,Head,100,TD,8,2,0.0010743535241933642,1.182,795
CIFAR10,ViT,Head,100,TD,8,2,0.0008693615789033169,1.144,93
CIFAR10,ViT,Head,100,TD,8,2,0.004260148526817191,1.234,830
CIFAR10,ViT,Head,100,TD,8,2,0.0015288733574435674,6.682,618
CIFAR10,ViT,Head,100,TD,8,2,0.0018109390687750697,3.419,475
CIFAR10,ViT,Head,100,TD,8,2,0.0027153513022548184,0.2,1000
CIFAR10,ViT,Head,100,TD,8,2,0.00136272535287274,1.208,604
CIFAR10,ViT,Head,100,TD,8,2,0.0006675162604733602,7.218,181
CIFAR10,ViT,Head,100,TD,8,2,0.001305627343669511,2.196,580
CIFAR10,ViT,Head,100,TD,8,2,0.004388134810034033,0.2,628
CIFAR10,ViT,Head,100,TD,8,2,0.0015774482111282832,3.355,887
CIFAR10,ViT,Head,100,TD,8,2,0.003347592770452794,3.246,821
CIFAR10,ViT,Head,100,TD,8,2,0.0015198000597730398,4.433,370
CIFAR10,ViT,Head,100,TD,8,2,0.0009458339987271129,10.0,588
CIFAR10,ViT,Head,100,TD,8,2,0.0020281679129679265,3.542,273
CIFAR10,ViT,Head,100,TD,8,2,0.0031817996922187276,7.259,810
CIFAR10,ViT,Head,100,TD,8,2,0.0048355641595856135,6.623,825
CIFAR10,ViT,Head,100,TD,8,2,0.0033405574350659824,0.2,748
CIFAR10,ViT,Head,100,TD,8,2,0.00047133980157461173,3.082,578
CIFAR10,ViT,Head,100,TD,8,2,0.001384199795045228,2.254,979
CIFAR10,ViT,Head,100,TD,8,2,0.0020890902654403577,4.174,885
